NASDAQ Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,NASDAQ,Common Stock
AFIB,"Acutus Medical, Inc. - Common Stock",Q,N,D,100,N,N,NASDAQ,Yes
AFMD,Affimed N.V. - Common Stock,G,N,D,100,N,N,NASDAQ,Yes
AFRI,Forafric Global PLC - Ordinary Shares,S,N,N,100,N,N,NASDAQ,No
AFRIW,Forafric Global PLC - Warrants,S,N,N,100,N,N,NASDAQ,No
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AFYA,Afya Limited - Class A Common Shares,Q,N,N,100,N,N,NASDAQ,No
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AGBA,AGBA Group Holding Limited - Ordinary Share,S,N,N,100,N,N,NASDAQ,No
AGBAW,AGBA Group Holding Limited - Warrant,S,N,N,100,N,N,NASDAQ,No
AGEN,Agenus Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AGFY,Agrify Corporation - Common Stock,S,N,E,100,N,N,NASDAQ,Yes
AGIL,"AgileThought, Inc. - Class A Common Stock",S,N,D,100,N,N,NASDAQ,Yes
AGILW,"AgileThought, Inc. - Warrant",S,N,N,100,N,N,NASDAQ,No
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,E,100,N,N,NASDAQ,No
AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N,NASDAQ,No
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,100,N,N,NASDAQ,No
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N,NASDAQ,No
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N,NASDAQ,No
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N,NASDAQ,No
AGNG,Global X Aging Population ETF,G,N,N,100,Y,N,NASDAQ,No
